budget: 800,000 tokens (80% of 1,000,000) at 3.0 chars/token
file                                                       tier         chars   tokens      total  status
.github/PULL_REQUEST_TEMPLATE.md                           context        387      129        129  ok
.github/workflows/ci.yml                                   context     36,058   12,020     12,149  ok
.ruby-version                                              context         88       30     12,179  ok
.swiftformat                                               context      1,108      370     12,549  ok
Alamofire.podspec                                          context        370      124     12,673  ok
Alamofire.xcodeproj/project.pbxproj                        context     39,247   13,083     25,756  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire iOS.xcscheme context      1,447      483     26,239  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire macOS.xcscheme context      1,277      426     26,665  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire tvOS.xcscheme context      1,451      484     27,149  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire visionOS.xcscheme context        389      130     27,279  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire watchOS.xcscheme context      1,283      428     27,707  ok
CHANGELOG.md                                               context     13,484    4,495     32,202  ok
CONTRIBUTING.md                                            context      5,927    1,976     34,178  ok
Documentation/AdvancedUsage.md                             context      1,574      525     34,703  ok
Documentation/Usage.md                                     context      2,918      973     35,676  ok
Example/iOS Example.xcodeproj/project.pbxproj              context      4,754    1,585     37,261  ok
Example/iOS Example.xcodeproj/xcshareddata/xcschemes/iOS Example.xcscheme context        785      262     37,523  ok
Gemfile                                                    context        323      108     37,631  ok
Gemfile.lock                                               context     11,871    3,957     41,588  ok
Package.swift                                              comment      1,440      480     42,068  ok
Package@swift-6.0.swift                                    comment      1,276      426     42,494  ok
Package@swift-6.1.swift                                    comment      1,713      571     43,065  ok
Package@swift-6.2.swift                                    comment      3,799    1,267     44,332  ok
Package@swift-6.3.swift                                    comment      3,809    1,270     45,602  ok
README.md                                                  context      1,789      597     46,199  ok
Source/Alamofire.swift                                     comment        778      260     46,459  ok
Source/Core/AFError.swift                                  comment        666      222     46,681  ok
Source/Core/DataRequest.swift                              comment      2,469      823     47,504  ok
Source/Core/DataStreamRequest.swift                        comment      5,036    1,679     49,183  ok
Source/Core/DownloadRequest.swift                          comment      7,634    2,545     51,728  ok
Source/Core/Instant.swift                                  comment      3,103    1,035     52,763  ok
Source/Core/Request.swift                                  comment     23,901    7,967     60,730  ok
Source/Core/RequestTaskMap.swift                           comment        931      311     61,041  ok
Source/Core/Session.swift                                  comment     80,972   26,991     88,032  ok
Source/Core/SessionDelegate.swift                          comment      3,354    1,118     89,150  ok
Source/Core/UploadRequest.swift                            comment      3,687    1,229     90,379  ok
Source/Core/WebSocketRequest.swift                         comment        818      273     90,652  ok
Source/Features/AuthenticationInterceptor.swift            comment     11,164    3,722     94,374  ok
Source/Features/Combine.swift                              comment        396      132     94,506  ok
Source/Features/Concurrency.swift                          comment      3,115    1,039     95,545  ok
Source/Features/EventMonitor.swift                         comment      2,931      977     96,522  ok
Source/Features/MultipartFormData.swift                    comment        536      179     96,701  ok
Source/Features/OfflineRetrier.swift                       comment        542      181     96,882  ok
Source/Features/RetryPolicy.swift                          comment        661      221     97,103  ok
Source/Features/URLEncodedFormEncoder.swift                comment      4,790    1,597     98,700  ok
Source/Features/Validation.swift                           comment      1,156      386     99,086  ok
Source/PrivacyInfo.xcprivacy                               context        653      218     99,304  ok
Tests/AuthenticationInterceptorTests.swift                 context    116,691   38,897    138,201  ok
Tests/CacheTests.swift                                     context        452      151    138,352  ok
Tests/CombineTests.swift                                   context     43,538   14,513    152,865  ok
Tests/ConcurrencyTests.swift                               context     10,119    3,373    156,238  ok
Tests/DataStreamTests.swift                                context     17,713    5,905    162,143  ok
Tests/DispatchQueue+AlamofireTests.swift                   context      2,056      686    162,829  ok
Tests/DownloadTests.swift                                  context     42,434   14,145    176,974  ok
Tests/InspectorEventMonitor.swift                          context     12,636    4,212    181,186  ok
Tests/InstantTests.swift                                   context      3,300    1,100    182,286  ok
Tests/LeaksTests.swift                                     context      2,879      960    183,246  ok
Tests/MIMETypeTests.swift                                  context      7,840    2,614    185,860  ok
Tests/MultipartFormDataTests.swift                         context     14,191    4,731    190,591  ok
Tests/NSLoggingEventMonitor.swift                          context        476      159    190,750  ok
Tests/OfflineRetrierTests.swift                            context      5,316    1,772    192,522  ok
Tests/ProtectedTests.swift                                 context        251       84    192,606  ok
Tests/RequestInterceptorTests.swift                        context     41,295   13,765    206,371  ok
Tests/RequestModifierTests.swift                           context      5,508    1,836    208,207  ok
Tests/RequestTests.swift                                   context     56,351   18,784    226,991  ok
Tests/ResponseSerializationTests.swift                     context      1,459      487    227,478  ok
Tests/ResponseTests.swift                                  context     18,043    6,015    233,493  ok
Tests/RetryPolicyTests.swift                               context      1,080      360    233,853  ok
Tests/ServerTrustEvaluatorTests.swift                      context      3,463    1,155    235,008  ok
Tests/SessionTests.swift                                   context     36,190   12,064    247,072  ok
Tests/TLSEvaluationTests.swift                             context     14,922    4,974    252,046  ok
Tests/Test Plans/iOS.xctestplan                            context        343      115    252,161  ok
Tests/Test Plans/macOS.xctestplan                          context        385      129    252,290  ok
Tests/TestHelpers.swift                                    context     11,353    3,785    256,075  ok
Tests/URLProtocolTests.swift                               context      2,475      825    256,900  ok
Tests/UploadTests.swift                                    context     25,917    8,639    265,539  ok
Tests/ValidationTests.swift                                context     24,042    8,014    273,553  ok
Tests/WebSocketTests.swift                                 context        856      286    273,839  ok
docs/Classes.html                                          context      9,100    3,034    276,873  ok
docs/Classes/Adapter.html                                  context      3,551    1,184    278,057  ok
docs/Classes/AlamofireNotifications.html                   context      3,566    1,189    279,246  ok
docs/Classes/AuthenticationInterceptor.html                context      3,569    1,190    280,436  ok
docs/Classes/AuthenticationInterceptor/RefreshWindow.html  context      3,613    1,205    281,641  ok
docs/Classes/ClosureEventMonitor.html                      context      3,563    1,188    282,829  ok
docs/Classes/CompositeEventMonitor.html                    context      5,847    1,949    284,778  ok
docs/Classes/CompositeTrustEvaluator.html                  context      3,567    1,189    285,967  ok
docs/Classes/ConnectionLostRetryPolicy.html                context      3,569    1,190    287,157  ok
docs/Classes/DataRequest.html                              context      3,555    1,185    288,342  ok
docs/Classes/DataResponseSerializer.html                   context      3,566    1,189    289,531  ok
docs/Classes/DataStreamRequest.html                        context      3,561    1,187    290,718  ok
docs/Classes/DataStreamRequest/CancellationToken.html      context      3,609    1,203    291,921  ok
docs/Classes/DataStreamRequest/Completion.html             context      3,602    1,201    293,122  ok
docs/Classes/DataStreamRequest/Event.html                  context      3,597    1,199    294,321  ok
