budget: 800,000 tokens (80% of 1,000,000) at 3.0 chars/token
file                                                       tier         chars   tokens      total  status
.github/PULL_REQUEST_TEMPLATE.md                           context        387      129        129  ok
.github/workflows/ci.yml                                   context     16,424    5,475      5,604  ok
.ruby-version                                              context         88       30      5,634  ok
.swiftformat                                               context        386      129      5,763  ok
Alamofire.podspec                                          context        370      124      5,887  ok
Alamofire.xcodeproj/project.pbxproj                        context     16,762    5,588     11,475  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire iOS.xcscheme context        812      271     11,746  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire macOS.xcscheme context        814      272     12,018  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire tvOS.xcscheme context        813      271     12,289  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire visionOS.xcscheme context        389      130     12,419  ok
Alamofire.xcodeproj/xcshareddata/xcschemes/Alamofire watchOS.xcscheme context        816      272     12,691  ok
CHANGELOG.md                                               context      3,348    1,116     13,807  ok
Example/iOS Example.xcodeproj/project.pbxproj              context      4,754    1,585     15,392  ok
Example/iOS Example.xcodeproj/xcshareddata/xcschemes/iOS Example.xcscheme context        785      262     15,654  ok
Gemfile                                                    context        323      108     15,762  ok
Gemfile.lock                                               context     10,118    3,373     19,135  ok
Package.swift                                              comment      1,045      349     19,484  ok
Package@swift-6.3.swift                                    comment      3,809    1,270     20,754  ok
README.md                                                  context      1,789      597     21,351  ok
Source/Alamofire.swift                                     comment        302      101     21,452  ok
Source/Core/DataRequest.swift                              comment      1,036      346     21,798  ok
Source/Core/DownloadRequest.swift                          comment      1,089      363     22,161  ok
Source/Core/Instant.swift                                  comment      3,103    1,035     23,196  ok
Source/Features/AuthenticationInterceptor.swift            comment      1,158      386     23,582  ok
Source/Features/EventMonitor.swift                         comment        491      164     23,746  ok
Source/PrivacyInfo.xcprivacy                               context        653      218     23,964  ok
Tests/InstantTests.swift                                   context      3,300    1,100     25,064  ok
Tests/Test Plans/iOS.xctestplan                            context        343      115     25,179  ok
Tests/Test Plans/macOS.xctestplan                          context        385      129     25,308  ok
docs/Classes.html                                          context      1,242      414     25,722  ok
docs/Classes/Adapter.html                                  context      1,253      418     26,140  ok
docs/Classes/AlamofireNotifications.html                   context      1,268      423     26,563  ok
docs/Classes/AuthenticationInterceptor.html                context      1,271      424     26,987  ok
docs/Classes/AuthenticationInterceptor/RefreshWindow.html  context      1,288      430     27,417  ok
docs/Classes/ClosureEventMonitor.html                      context      1,265      422     27,839  ok
docs/Classes/CompositeEventMonitor.html                    context      1,267      423     28,262  ok
docs/Classes/CompositeTrustEvaluator.html                  context      1,269      423     28,685  ok
docs/Classes/ConnectionLostRetryPolicy.html                context      1,271      424     29,109  ok
docs/Classes/DataRequest.html                              context      1,257      419     29,528  ok
docs/Classes/DataResponseSerializer.html                   context      1,268      423     29,951  ok
docs/Classes/DataStreamRequest.html                        context      1,263      421     30,372  ok
docs/Classes/DataStreamRequest/CancellationToken.html      context      1,284      428     30,800  ok
docs/Classes/DataStreamRequest/Completion.html             context      1,277      426     31,226  ok
docs/Classes/DataStreamRequest/Event.html                  context      1,272      424     31,650  ok
docs/Classes/DataStreamRequest/Stream.html                 context      1,273      425     32,075  ok
docs/Classes/DecodableResponseSerializer.html              context      1,273      425     32,500  ok
docs/Classes/DefaultTrustEvaluator.html                    context      1,267      423     32,923  ok
docs/Classes/DisabledTrustEvaluator.html                   context      1,268      423     33,346  ok
docs/Classes/DownloadRequest.html                          context      1,261      421     33,767  ok
docs/Classes/DownloadRequest/Downloadable.html             context      1,277      426     34,193  ok
docs/Classes/DownloadRequest/Options.html                  context      1,272      424     34,617  ok
docs/Classes/Interceptor.html                              context      1,257      419     35,036  ok
docs/Classes/JSONParameterEncoder.html                     context      1,266      422     35,458  ok
docs/Classes/JSONResponseSerializer.html                   context      1,268      423     35,881  ok
docs/Classes/MultipartFormData.html                        context      1,263      421     36,302  ok
